City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
199,Zhigansk,66.7697,123.3711,-15.56,98,100,15.3,light snow,RU,2021-12-04 20:11:04
200,San Vicente,-26.6167,-54.1333,91.33,24,87,4.34,overcast clouds,AR,2021-12-04 20:17:10
201,Kununurra,-15.7667,128.7333,82.38,83,100,8.05,overcast clouds,AU,2021-12-04 20:17:10
202,Ratnagiri,16.9833,73.3,75.16,84,26,4.16,scattered clouds,IN,2021-12-04 20:17:11
203,Vestmannaeyjar,63.4427,-20.2734,32.83,67,8,10.51,clear sky,IS,2021-12-04 20:13:01
204,Nouadhibou,20.931,-17.0347,66.18,68,12,12.66,few clouds,MR,2021-12-04 20:17:11
205,Solnechnyy,50.7214,136.6319,-4.27,88,51,7.14,light snow,RU,2021-12-04 20:17:11
206,Brae,60.3964,-1.353,37.31,64,85,25.55,overcast clouds,GB,2021-12-04 20:08:39
207,Plessisville,46.2186,-71.762,17.49,37,67,5.08,broken clouds,CA,2021-12-04 20:17:12
208,Chimoio,-19.1164,33.4833,76.86,53,20,4.54,few clouds,MZ,2021-12-04 20:17:12
209,Nanortalik,60.1432,-45.2371,36.82,87,100,35.5,light rain,GL,2021-12-04 20:17:12
210,Romilly-Sur-Seine,48.5108,3.7263,41.38,82,40,11.97,scattered clouds,FR,2021-12-04 20:17:13
211,Saint Marys,30.7305,-81.5465,76.05,68,1,1.99,clear sky,US,2021-12-04 20:14:28
212,Avera,33.194,-82.5271,73.71,44,100,7.25,overcast clouds,US,2021-12-04 20:17:13
213,Nikolskoye,59.7035,30.7861,15.03,94,100,5.77,overcast clouds,RU,2021-12-04 20:17:13
214,Akyab,20.15,92.9,77.0,72,100,4.21,overcast clouds,MM,2021-12-04 20:17:13
215,Tocopilla,-22.092,-70.1979,70.9,63,24,10.11,few clouds,CL,2021-12-04 20:14:12
216,Harper,4.375,-7.7169,80.06,81,5,9.4,clear sky,LR,2021-12-04 20:17:14
217,Shingu,33.7333,135.9833,39.67,80,3,7.02,clear sky,JP,2021-12-04 20:17:14
218,Mehamn,71.0357,27.8492,17.85,81,8,19.73,clear sky,NO,2021-12-04 20:17:14
219,Mahebourg,-20.4081,57.7,78.26,83,40,8.05,light rain,MU,2021-12-04 20:16:40
220,Nenjiang,49.1833,125.2167,10.11,95,76,11.27,broken clouds,CN,2021-12-04 20:17:15
221,Usoke,-5.1667,32.35,74.17,46,79,1.72,broken clouds,TZ,2021-12-04 20:17:15
222,Sorland,67.667,12.6934,26.67,62,13,18.21,few clouds,NO,2021-12-04 20:09:23
223,Luderitz,-26.6481,15.1594,61.2,90,2,5.66,clear sky,NA,2021-12-04 20:17:15
224,San Andres,12.5847,-81.7006,86.02,70,75,13.8,broken clouds,CO,2021-12-04 20:16:26
225,Kiunga,-6.1219,141.2906,72.79,100,100,2.15,overcast clouds,PG,2021-12-04 20:17:15
226,Rawson,-43.3002,-65.1023,81.97,22,1,20.31,clear sky,AR,2021-12-04 20:17:16
227,Elko,41.0002,-115.5012,55.06,45,5,7.0,clear sky,US,2021-12-04 20:17:16
228,Tsaratanana,-16.7833,47.65,77.59,53,6,5.59,clear sky,MG,2021-12-04 20:17:16
229,Conceicao Do Araguaia,-8.2578,-49.2647,79.95,87,100,4.12,heavy intensity rain,BR,2021-12-04 20:17:17
230,Vila Franca Do Campo,37.7167,-25.4333,64.2,84,100,0.92,overcast clouds,PT,2021-12-04 20:18:17
231,Phek,25.6667,94.5,50.09,85,100,1.1,overcast clouds,IN,2021-12-04 20:18:17
232,Acapulco,16.8634,-99.8901,85.82,70,1,6.91,clear sky,MX,2021-12-04 20:18:18
233,Ransang,8.9603,117.5828,78.03,85,100,2.59,overcast clouds,PH,2021-12-04 20:18:18
234,Kamenskiy,50.8855,45.488,32.18,97,100,5.86,snow,RU,2021-12-04 20:18:18
235,Mutoko,-17.397,32.2268,76.68,32,43,5.26,scattered clouds,ZW,2021-12-04 20:18:18
236,Arraial Do Cabo,-22.9661,-42.0278,76.96,65,40,10.36,scattered clouds,BR,2021-12-04 20:18:19
237,Juxtlahuaca,17.4294,-99.1467,86.38,31,5,0.83,clear sky,MX,2021-12-04 20:18:19
238,Tabou,4.423,-7.3528,80.47,79,6,9.26,clear sky,CI,2021-12-04 20:18:02
239,Sisimiut,66.9395,-53.6735,35.96,86,100,11.43,overcast clouds,GL,2021-12-04 20:18:19
240,Cabedelo,-6.9811,-34.8339,83.07,75,18,13.2,few clouds,BR,2021-12-04 20:09:54
241,Westport,41.1415,-73.3579,49.14,59,20,3.0,few clouds,US,2021-12-04 20:18:20
242,El Reten,10.6114,-74.2682,87.71,47,86,8.66,overcast clouds,CO,2021-12-04 20:18:20
243,Luba,3.4568,8.5547,81.72,83,97,7.94,overcast clouds,GQ,2021-12-04 20:18:20
244,Minggang,32.4586,114.0486,46.08,32,100,1.14,overcast clouds,CN,2021-12-04 20:13:40
245,East London,-33.0153,27.9116,68.34,93,100,18.28,light rain,ZA,2021-12-04 20:18:21
246,Urgut,39.4022,67.2431,37.02,74,98,1.03,overcast clouds,UZ,2021-12-04 20:18:21
247,Riberalta,-10.9833,-66.1,84.4,74,75,9.22,broken clouds,BO,2021-12-04 20:18:21
248,Kutum,14.2,24.6667,71.11,23,0,7.83,clear sky,SD,2021-12-04 20:18:21
249,Port Shepstone,-30.7414,30.455,70.18,87,100,2.1,light rain,ZA,2021-12-04 20:18:22
250,Umm Kaddadah,13.6017,26.6876,76.37,22,0,11.74,clear sky,SD,2021-12-04 20:18:22
251,Sag,45.6486,21.1756,39.15,88,74,6.42,broken clouds,RO,2021-12-04 20:18:22
252,Butaritari,3.0707,172.7902,83.16,76,13,17.78,few clouds,KI,2021-12-04 20:15:16
253,Progreso,21.2833,-89.6667,86.11,61,52,13.22,broken clouds,MX,2021-12-04 20:16:38
254,Gorontalo,0.5412,123.0595,76.32,95,100,2.26,overcast clouds,ID,2021-12-04 20:18:23
255,Winnemucca,40.973,-117.7357,53.65,37,1,0.0,clear sky,US,2021-12-04 20:14:01
256,Galesong,-5.3166,119.3661,75.22,80,100,5.46,overcast clouds,ID,2021-12-04 20:18:23
257,Butembo,0.15,29.2833,58.44,97,100,3.11,light rain,CD,2021-12-04 20:18:23
258,Madang,-5.2246,145.7966,75.72,92,100,6.51,light rain,PG,2021-12-04 20:18:23
